nom_estab,raz_social,nombre_actividad,codigo_postal,entidad,municipio,fecha_alta,correoelec,telefono,www, no. empleados
AGENCIA DE ENFERMERIA ARGO,,Servicios de enfermer�a a domicilio,20029,Aguascalientes,Aguascalientes,2019-11,ARGOENFERMERIA@GMAIL.COM,4492720937,,11 a 30 personas
ALBERGUE HOSPITAL MIGUEL HIDALGO AACAFIQ,AACAFIQ AC,Refugios temporales comunitarios del sector privado,20180,Aguascalientes,Aguascalientes,2019-11,AACAFIQ@HOTMAIL.COM,4494974462,,11 a 30 personas
AMBULANCIAS VIDA,,Servicios de ambulancias,20259,Aguascalientes,Aguascalientes,2014-12,AMBULANCIASVIDA@LIVE.COM.MX,4499191796,,11 a 30 personas
ASILO DE ANCIANOS SAN JOS�,PATRONATO DE ASISTENCIA SOCIAL DE CALVILLO AC,Asilos y otras residencias del sector privado para el cuidado de ancianos,20800,Aguascalientes,Calvillo,2010-07,ASILOSANJOSECALVILLO@HOTMAIL.COM,4959561197,,11 a 30 personas
ASILO JOSE GUADALUPE ALCALA,,Asilos y otras residencias del sector privado para el cuidado de ancianos,20116,Aguascalientes,Aguascalientes,2010-07,JOSEGUADALUPE.ALCALA@YAHOO.COM,4499730195,,11 a 30 personas
ASOCIACION DE COLABORACION MUTUA,ASOCIACION DE COLABORACION MUTU AC,Servicios de orientaci�n y trabajo social para la ni�ez y la juventud prestados por el sector privado,20000,Aguascalientes,Aguascalientes,2010-07,ACOLABORACION@GMAIL.COM,4499280572,,11 a 30 personas
BIODIAGNOSTICA,SERVICIOS INTEGRALES DE DIAGNOSTICO LAS AMERICAS SC,Laboratorios médicos y de diagnóstico del sector privado,20235,Aguascalientes,Aguascalientes,2010-07,SERVICIOSMATRIZ@GMAIL.COM,4499133737,WWW.BIODIAGNOSTICA.COM.MX,11 a 30 personas
CASA DE DESCANSO PARA ANCIANOS MATILDE ROUBROY DE VILLANUEVA,CASA DE DESCANSO PARA ANCIANOS MATILDE ROUBROY DE VILLANUEVA IBP ,Asilos y otras residencias del sector privado para el cuidado de ancianos,20700,Aguascalientes,Asientos,2010-07,CONTACTO@HOGARDELABUELOMATY.ORG,4961144537,WWW.HOGARDELABUELOMATY.ORG,31 a 50 personas
CASA HOGAR DEL ABUELO CUICA-CALLI,,Asilos y otras residencias del sector privado para el cuidado de ancianos,20230,Aguascalientes,Aguascalientes,2014-12,MAGDAGTZ3@HOTMAIL.COM,4491116437,,11 a 30 personas
CENDI ABEDUL,CENDI ABEDUL SC,Guarderías del sector privado,20210,Aguascalientes,Aguascalientes,2010-07,CENDIABEDULAGS@HOTMAIL.COM,4499716658,,31 a 50 personas
CENTRAL MEXICANA DE SERVICIOS GENERALES DE AA,CENTRAL MEXICANA DE SERVICIOS GENERALES DE AA AC,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,20234,Aguascalientes,Aguascalientes,2014-12,OFICINA-INTERGRUPAL-AA-AGS@HOTMAIL.COM,4499157497,,11 a 30 personas
CENTRO DE ACOPIO UGA,UNION GANADERA REGIONAL DE AGUASCALIENTES ,Servicios de emergencia comunitarios prestados por el sector privado,20303,Aguascalientes,San Francisco de los Romo,2019-11,UGRA.AGS@HOTMAIL.COM,4651057556,,11 a 30 personas
CENTRO DE CIRUGIA AMBULATORIA MEDISUR,CENTRO DE CIRUGIA AMBULATORIA MEDISUR SC,Otros centros del sector privado para la atenci�n de pacientes que no requieren hospitalizaci�n,20235,Aguascalientes,Aguascalientes,2010-07,MEDISUR_978@HOTMAIL.COM,4499717140,,11 a 30 personas
CENTRO DE DESARROLLO EDUCATIVO PABELL�N,INSTITUTO DE EDUCACI�N DE AGUASCALIENTES ,Servicios de orientaci�n y trabajo social para la ni�ez y la juventud prestados por el sector p�blico,20676,Aguascalientes,Pabell�n de Arteaga,2014-12,CDE.PABELLONDEAARTEAGA@IEA.EDU.MX,4659581110,,11 a 30 personas
CENTRO DE DESARROLLO INFANTIL DIF ESTATAL,DIF ESTATAL ,Guarderías del sector p�blico,20230,Aguascalientes,Aguascalientes,2010-07,SEDIF.AGUASCALIENTES@AGUASCALIENTES..GOB.MX,4499780430,WWW.AGAUSCALIENTES.GOB.MX/DIF,31 a 50 personas
CENTRO DE INTEGRACION PARA DROGADICTOS Y ALCOHOLICOS,,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,20210,Aguascalientes,Aguascalientes,2010-07,SIDA_AGUASCALIENTES@HOTMAIL.COM,4499130716,,11 a 30 personas
CENTRO DE REHABILITACION DE ALCOHOLISMO Y DROGADICCION MI UNICO CAMINO,CENTRO DE REHABILITACION DE ALCOHOLISMO Y DROGADICCION MI UNICO CAMINO AC,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,20150,Aguascalientes,Aguascalientes,2014-12,MIUNICOCAMINOAA@HOTMAIL.COM,4492425347,,11 a 30 personas
CENTRO DE REHABILITACION E INTEGRACION SOCIAL,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA ,Consultorios del sector p�blico de audiolog�a y de terapia ocupacional f�sica y del lenguaje,20230,Aguascalientes,Aguascalientes,2010-07,ROSA.LUCIO@AGUASCALIENTES.GOB.MX,4499784801,,101 a 250 personas
CENTRO DE SALUD RURAL ARELLANOS,ISSEA ,Clínicas de consultorios médicos del sector p�blico,20340,Aguascalientes,Aguascalientes,2010-07,DRAGONPAC@HOTMAIL.COM,4491115573,,11 a 30 personas
CENTRO ESTATAL DE TRANSFUSION SANGUINEA,INSTITUTO DE SALUD DEL ESTADO DE AGUASCALIENTES ,Servicios de bancos de �rganos bancos de sangre y otros servicios auxiliares al tratamiento m�dico prestados por el sector p�blico,20298,Aguascalientes,Aguascalientes,2010-07,CETSDIR2012@HOTMAIL.COM,4499775212,WWW.ISSEA.GOB.MX,11 a 30 personas
CENTRO GERONTOLOGICO DIF ESTATAL,GOBIERNO DEL ESTADO ,Centros del sector p�blico dedicados a la atenci�n y cuidado diurno de ancianos y discapacitados,20230,Aguascalientes,Aguascalientes,2010-07,GUILLERMINA.ALTAMIRA@AGUASCLAIENTES.GOB.MX,4499782188,WWW.GOBIERNODEAGUASCALIENTES.GOB.MX,11 a 30 personas
